actor,character,season,episode
James Doohan,Scott,1,22
Makee K. Blaisdell,Spinelli (as Blaisdell Makee),1,22
Nichelle Nichols,Uhura,1,22
Mark Tobin,Joaquin,1,22
Kathy Ahart,Crew Woman,1,22
John Winston,Lt. Kyle,1,22
John Arndt,Ingenieur Fields (uncredited),1,22
Bobby Bass,Guard (uncredited),1,22
Bill Blackburn,Lt. Hadley (uncredited),1,22
Frank da Vinci,Lt. Brent (uncredited),1,22
Joan Johnson,Female Guard (uncredited),1,22
Eddie Paskey,Lt. Leslie (uncredited),1,22
Jan Reddin,Crewwoman (uncredited),1,22
Ron Veto,Harrison (uncredited),1,22
Joan Webster,Nurse (uncredited),1,22
William Shatner,Captain James T. Kirk,1,23
Leonard Nimoy,Mr. Spock,1,23
David Opatoshu,Anan 7,1,23
Gene Lyons,Ambassador Robert Fox,1,23
DeForest Kelley,Dr. McCoy,1,23
James Doohan,Scott,1,23
Barbara Babcock,Mea 3,1,23
Miko Mayama,Yeoman Tamura,1,23
David L. Ross,Lt. Galloway,1,23
Nichelle Nichols,Uhura,1,23
Sean Kenney,DePaul,1,23
Robert Sampson,Sar 6,1,23
David Armstrong,Eminiar Guard (uncredited),1,23
Majel Barrett,Enterprise Computer (voice) (uncredited),1,23
Bill Blackburn,Lt. Hadley,1,23
Bill Blackburn,Eminiar Technician (uncredited),1,23
John Burnside,Eminiar Guard (uncredited),1,23
Dick Cherney,Council Member (uncredited),1,23
Frank da Vinci,Eminiar Guard (uncredited),1,23
Jeannie Malone,Yeoman (uncredited),1,23
Monty O'Grady,Council Member (uncredited),1,23
Eddie Paskey,Eminiar Guard (uncredited),1,23
Ron Veto,Eminiar Guard (uncredited),1,23
William Shatner,Captain James T. Kirk,1,24
Leonard Nimoy,Mr. Spock,1,24
Jill Ireland,Leila Kalomi,1,24
Frank Overton,Elias Sandoval,1,24
DeForest Kelley,Dr. McCoy,1,24
Grant Woods,Lieutenant Kelowitz,1,24
George Takei,Sulu,1,24
Nichelle Nichols,Uhura,1,24
Michael Barrier,Lt. DeSalle,1,24
Dick Scotter,Painter,1,24
Eddie Paskey,Lt. Leslie,1,24
Bobby Bass,Lieutenant (uncredited),1,24
Bill Blackburn,Lt. Hadley (uncredited),1,24
Frank da Vinci,Brent,1,24
Frank da Vinci,Vinci (uncredited),1,24
Walker Edmiston,Transporter Chief (voice) (uncredited),1,24
John Lindesmith,Engineer (uncredited),1,24
Jeannie Malone,Yeoman,1,24
Jeannie Malone,Omicron Colonist (uncredited),1,24
Sean Morgan,Engineer (uncredited),1,24
Fred Shue,Crewman (uncredited),1,24
Ron Veto,Kelowitz's Opponent (uncredited),1,24
William Shatner,Captain James T. Kirk,1,25
Leonard Nimoy,Mr. Spock,1,25
DeForest Kelley,Dr. McCoy,1,25
James Doohan,Scott,1,25
Brad Weston,Appel,1,25
Biff Elliot,Schmitter,1,25
George Allen,Engineer #1 (as George E. Allen),1,25
Jon Cavett,Guard,1,25
Barry Russo,Lt. Cmdr. Giotto,1,25
Bill Blackburn,Lt. Hadley (uncredited),1,25
Frank da Vinci,Lt. Osborne (uncredited),1,25
Dick Dial,Sam (uncredited),1,25
Robert F. Hoy,Horta (uncredited),1,25
Ken Lynch,Vanderberg (uncredited),1,25
Eddie Paskey,Lt. Leslie (uncredited),1,25
Janos Prohaska,Horta (uncredited),1,25
Ron Veto,Security Guard (uncredited),1,25
Niel Wray,Miner (uncredited),1,25
William Shatner,Captain James T. Kirk,1,26
Leonard Nimoy,Mr. Spock,1,26
John Abbott,Ayelborne,1,26
John Colicos,Kor,1,26
George Takei,Sulu,1,26
Nichelle Nichols,Uhura,1,26
Peter Brocco,Claymare,1,26
Victor Lundin,Lieutenant,1,26
David Hillary Hughes,Trefayne,1,26
Walt Davis,Klingon Soldier,1,26
George Sawaya,Second Soldier,1,26
Bobby Bass,Klingon Guard (uncredited),1,26
Bill Blackburn,Klingon (uncredited),1,26
Gary Combs,Klingon Guard (uncredited),1,26
Frank da Vinci,Brent (uncredited),1,26
Eddie Paskey,Lt. Leslie (uncredited),1,26
Basil Poledouris,Klingon (uncredited),1,26
Ron Veto,Harrison,1,26
Ron Veto,Organian villager (uncredited),1,26
William Shatner,Captain James T. Kirk,1,27
Leonard Nimoy,Mr. Spock,1,27
Robert Brown,Lazarus,1,27
DeForest Kelley,Dr. McCoy,1,27
Janet MacLachlan,Charlene Masters,1,27
